,호선,역명,전화번호,우편번호,주소,구별,lat,lng
119,2,삼성,02-6110-2191,135-090,서울특별시 강남구 테헤란로 지하538,강남구,37.508861,127.063149
120,2,선릉,02-6110-2201,135-090,"서울특별시 강남구 테헤란로 지하340
",강남구,37.504479,127.048941
121,2,역삼,02-6110-2211,135-080,서울특별시 강남구 테헤란로 지하156,강남구,37.500326,127.036087
122,2,강남,02-6110-2221,135-080,서울특별시 강남구 강남대로 지하396,강남구,37.4968218,127.0281206
123,2,교대,02-6110-2231,137-070,서울특별시 서초구 서초대로 지하294,서초구,37.4934705,127.0142285
124,2,서초,02-6110-2241,137-070,서울특별시 서초구 서초대로 지하233,서초구,37.49184,127.007688
125,2,방배,02-6110-2251,137-842,서울특별시 서초구 방배로 지하80 ,서초구,37.481512,126.997638
126,2,사당,02-6110-2261,156-090,서울특별시 동작구 남부순환로 지하2089,동작구,37.476559,126.981633
127,2,낙성대,02-6110-2271,151-812,서울특별시 관악구 남부순환로 지하1928,관악구,37.477117,126.963418
128,2,서울대입구,02-6110-2281,151-834,서울특별시 관악구 남부순환로 지하1822,관악구,37.48121,126.952712
129,2,봉천,02-6110-2291,151-834,서울특별시 관악구 남부순환로 지하1721,관악구,37.482476,126.941574
130,2,신림,02-6110-2301,151-015,서울특별시 관악구 남부순환로 지하1614,관악구,37.4626176,126.9383251
131,2,신대방,02-6110-2311,156-853,서울특별시 동작구 대림로 2,동작구,37.487519,126.913282
132,2,구로디지털단지,02-6110-2321,152-878,서울특별시 구로구 도림천로 477,구로구,37.48525,126.901472
133,2,대림,02-6110-2331,152-880,서울특별시 구로구 도림천로 351,구로구,37.4930835,126.8957865
134,2,신도림,02-6110-2341,152-888,서울특별시 구로구 새말로 117-21,구로구,37.508562,126.891336
135,2,문래,02-6110-2351,150-835,서울특별시 영등포구 당산로 지하28,영등포구,37.5169837,126.8993953
136,2,영등포구청,02-6110-2361,150-803,서울특별시 영등포구 당산로27길 지하121,영등포구,37.5249707,126.8960384
137,2,당산,02-6110-2371,150-809,서울특별시 영등포구 당산로 229,영등포구,37.5340278,126.9019901
138,2,합정,02-6110-2381,121-839,서울특별시 마포구 양화로 지하55,마포구,37.5463089,126.9101219
139,2,홍대입구,02-6110-2391,121-817,서울특별시 마포구 양화로 지하160,마포구,37.557527,126.9244669
140,2,신촌,02-6110-2401,121-806,서울특별시 마포구 신촌로 지하90,마포구,37.559768,126.942308
141,2,이대,02-6110-2411,121-870,서울특별시 마포구 신촌로 지하180,마포구,37.556761,126.945857
142,2,아현,02-6110-2421,121-859,서울특별시 마포구 신촌로 지하270,마포구,37.557382,126.956083
143,2,충정로,02-6110-2431,120-840,서울특별시 서대문구 서소문로 지하17,서대문구,37.560055,126.963672
144,2,도림천,02-6110-2441,152-887,서울특별시 구로구 경인로67길 160,구로구,37.51446,126.882624
145,2,양천구청,02-6110-2451,158-070,서울특별시 양천구 목동로3길 지하33,양천구,37.512322,126.865633
146,2,신정네거리,02-6110-2461,158-070,서울특별시 양천구 중앙로 지하261,양천구,37.520209,126.852796
147,2,까치산,02-6311-5181,157-010,서울특별시 강서구 강서로 지하54,강서구,37.5317675,126.8467055
150,3,구파발,02-6110-3201,122-200,서울특별시 은평구 진관2로 지하15-25,은평구,37.636581,126.918833
151,3,연신내,02-6110-3211,122-809,서울특별시 은평구 통일로 지하849,은평구,37.618812,126.920842
152,3,불광,02-6110-3221,122-837,서울특별시 은평구 통일로 지하723-1,은평구,37.6105025,126.9298435
153,3,녹번,02-6110-3231,122-828,서울특별시 은평구 통일로 지하602-1,은평구,37.600869,126.935761
154,3,홍제,02-6110-3241,120-859,서울특별시 서대문구 통일로 지하440-1,서대문구,37.588792,126.944094
155,3,무악재,02-6110-3251,120-854,서울특별시 서대문구 통일로 지하361,서대문구,37.582634,126.950134
156,3,독립문,02-6110-3261,120-080,서울특별시 서대문구 통일로 지하247,서대문구,37.574453,126.957918
157,3,경복궁,02-6110-3271,110-756,서울특별시 종로구 사직로 지하130,종로구,37.575838,126.97358
158,3,안국,02-6110-3281,110-240,서울특별시 종로구 율곡로 지하62,종로구,37.576556,126.985472
159,3,종로3가,02-6110-3291,110-370,서울특별시 종로구 돈화문로 지하30,종로구,37.5715,126.9912475
160,3,을지로3가,02-6110-3301,100-847,서울특별시 중구 을지로 지하129,중구,37.566286,126.9917735
161,3,동대입구,02-6110-3321,100-856,서울특별시 중구 동호로 지하256,중구,37.558126,127.005316
162,3,약수,02-6110-3331,100-841,서울특별시 중구 다산로 지하122,중구,37.5546714,127.0106285
163,3,금호,02-6110-3341,133-809,서울특별시 성동구 동호로 지하104,성동구,37.54826,127.015789
164,3,옥수,02-6110-3351,133-838,서울특별시 성동구 동호로 지하21,성동구,37.540514,127.018698
165,3,압구정,02-6110-3361,135-120,서울특별시 강남구 압구정로 지하172,강남구,37.526144,127.028487
166,3,신사,02-6110-3371,135-120,서울특별시 강남구 도산대로 지하102,강남구,37.524124,127.022883
167,3,잠원,02-6110-3381,137-030,서울특별시 서초구 잠원로4길 지하46,서초구,37.51296,127.011611
168,3,고속터미널,02-6110-3391,137-713,서울특별시 서초구 신반포로 지하188,서초구,37.5049142,127.0049151
169,3,교대,02-6110-3401,137-070,서울특별시 서초구 서초대로 지하294,서초구,37.4934705,127.0142285
170,3,남부터미널,02-6110-3411,137-070,서울특별시 서초구 서초중앙로 지하31,서초구,37.48491,127.016274
171,3,양재,02-6110-3421,137-863,서울특별시 서초구 남부순환로 지하2585,서초구,37.484102,127.034369
172,3,매봉,02-6110-3431,135-504,서울특별시 강남구 남부순환로 지하2744,강남구,37.48703500000001,127.046918
173,3,도곡,02-6110-3441,135-270,서울특별시 강남구 남부순환로 지하2814,강남구,37.49106,127.0556945
174,3,대치,02-6110-3451,135-835,서울특별시 강남구 남부순환로 지하2952,강남구,37.494569,127.063446
175,3,학여울,02-6110-3461,135-834,서울특별시 강남구 남부순환로 지하3104,강남구,37.496683,127.070549
176,3,대청,02-6110-3471,135-230,서울특별시 강남구 일원로 지하2,강남구,37.493601,127.079526
177,3,일원,02-6110-3481,135-230,서울특별시 강남구 일원로 지하121,강남구,37.483869,127.084032
178,3,수서,02-6110-3491,135-885,"서울특별시 강남구 광평로 지하270
",강남구,37.4874685,127.1013245
179,3,경찰병원,02-6110-3511,138-800,서울특별시 송파구 중대로 지하149,송파구,37.495694,127.12419
180,3,오금,02-6110-3521,138-856,서울특별시 송파구 오금로 지하321,송파구,37.5022335,127.128354
181,3,충무로,02-6110-4231,100-272,서울특별시 중구 퇴계로 지하199,중구,37.5609739,126.9935287
182,3,가락시장,02-6311-8171,138-812,서울특별시 송파구 송파대로 지하257,송파구,37.4923175,127.118104
196,4,당고개,02-6110-4091,139-811,서울특별시 노원구 상계로 305,노원구,37.67026,127.079011
197,4,상계,02-6110-4101,139-813,서울특별시 노원구 상계로 182,노원구,37.660566,127.073202
198,4,노원,02-6110-4111,139-821,서울특별시 노원구 상계로 69-1,노원구,37.654527,127.060551
199,4,창동,02-6110-4121,132-904,서울특별시 도봉구 마들로 11길 77,도봉구,37.653454,127.047574
200,4,쌍문,02-6110-4131,132-926,서울특별시 도봉구 도봉로 지하486-1,도봉구,37.6522545,127.0304855
201,4,수유,02-6110-4141,142-070,서울특별시 강북구 도봉로 지하338,강북구,37.6371095,127.0247325
202,4,미아,02-6110-4151,142-803,서울특별시 강북구 도봉로 지하198,강북구,37.626402,127.02615
203,4,미아사거리,02-6110-4161,142-804,서울특별시 강북구 도봉로 지하50,강북구,37.613251,127.030084
204,4,길음,02-6110-4171,136-800,서울특별시 성북구 동소문로 지하248,성북구,37.603185,127.024914
205,4,성신여대입구,02-6110-4181,136-054,서울특별시 성북구 동소문로 지하102,성북구,37.59272,127.016544
206,4,한성대입구,02-6110-4191,136-041,서울특별시 성북구 삼선교로 지하1,성북구,37.588374,127.005907
207,4,혜화,02-6110-4201,110-524,서울특별시 종로구 대학로 지하120,종로구,37.58208,127.001892
208,4,동대문역사문화공원,02-6110-4221,100-412,서울특별시 중구 장충단로 지하230,중구,37.565102,127.007765
209,4,충무로,02-6110-4231,100-272,서울특별시 중구 퇴계로 지하199,중구,37.5609739,126.9935287
210,4,명동,02-6110-4241,100-012,서울특별시 중구 퇴계로 지하126,중구,37.5609892,126.9861868
211,4,회현,02-6110-4251,100-805,서울특별시 중구 퇴계로 지하54,중구,37.5547125,126.9707878
212,4,서울,02-6110-4261,140-819,서울특별시 용산구 한강대로 지하392,용산구,37.5536067,126.9696195
213,4,숙대입구,02-6110-4271,140-801,서울특별시 용산구 한강대로 지하306,용산구,37.545097,126.971987
214,4,삼각지,02-6110-4281,140-011,서울특별시 용산구 한강대로 지하180,용산구,37.5350315,126.9734515
215,4,신용산,02-6110-4291,140-871,서울특별시 용산구 한강대로 지하112,용산구,37.529187,126.967886
216,4,이촌,02-6110-4301,140-904,서울특별시 용산구 서빙고로 지하83,용산구,37.5224761,126.9738155
217,4,동작,02-6110-4311,156-080,서울특별시 동작구 현충로 257,동작구,37.503062,126.9790995
218,4,총신대입구(이수),02-6110-4321,156-090,서울특별시 동작구 동작대로 지하117,동작구,37.48665099999999,126.982164
219,4,사당,02-6110-4331,156-090,서울특별시 동작구 동작대로 지하3,동작구,37.476559,126.981633
220,4,남태령,02-6110-4341,137-060,서울특별시 서초구 과천대로 지하816,서초구,37.464237,126.989097
238,5,방화,02-6311-5101,157-857,서울특별시 강서구 금낭화로 지하132,강서구,37.577622,126.812826
239,5,개화산,02-6311-5111,157-220,서울특별시 강서구 양천로 22,강서구,37.572455,126.806839
240,5,김포공항,02-6311-5121,157-220,서울특별시 강서구 하늘길 지하77,강서구,37.5618288,126.8019274
241,5,송정,02-6311-5131,157-811,서울특별시 강서구 공항대로 지하33,강서구,37.561385,126.81205
242,5,마곡,02-6311-5141,147-805,서울특별시 강서구 공항대로 지하163,강서구,37.5619185,126.826919
243,5,발산,02-6311-5151,157-805,서울특별시 강서구 공항대로 지하267,강서구,37.55868299999999,126.837595
244,5,우장산,02-6311-5161,157-010,서울특별시 강서구 강서로 지하262,강서구,37.548783,126.836334
245,5,화곡,02-6311-5171,157-010,서울특별시 강서구 화곡로 지하168,강서구,37.54157800000001,126.840436
246,5,까치산,02-6311-5181,157-010,서울특별시 강서구 강서로 지하54,강서구,37.5317675,126.8467055
247,5,신정,02-6311-5191,158-070,서울특별시 양천구 오목로 지하179,양천구,37.524977,126.856164
248,5,목동,02-6311-5201,158-050,서울특별시 양천구 오목로 지하245,양천구,37.526072,126.864301
249,5,오목교,02-6311-5211,158-806,서울특별시 양천구 오목로 지하342,양천구,37.524553,126.87505
250,5,양평,02-6311-5221,150-102,서울특별시 영등포구 양산로 지하21,영등포구,37.492778,127.492149
251,5,영등포구청,02-6311-5231,150-804,서울특별시 영등포구 양산로 지하116,영등포구,37.5249707,126.8960384
252,5,영등포시장,02-6311-5241,150-035,서울특별시 영등포구 양산로 지하200,영등포구,37.521638,126.9049865
253,5,신길,02-6311-5251,150-031,서울특별시 영등포구 경인로114가길 지하9,영등포구,37.517346,126.9164095
254,5,여의도,02-6311-5261,150-913,서울특별시 영등포구 여의나루로 지하40,영등포구,37.5215695,126.9243115
255,5,여의나루,02-6311-5271,150-010,서울특별시 영등포구 여의동로 지하343,영등포구,37.527141,126.93281
256,5,마포,02-6311-5281,121-779,서울특별시 마포구 마포대로 지하33,마포구,37.539705,126.94604
257,5,공덕,02-6311-5291,121-805,서울특별시 마포구 마포대로 지하100,마포구,37.54322,126.951576
258,5,애오개,02-6311-5301,121-862,서울특별시 마포구 마포대로 지하210,마포구,37.55359,126.956739
259,5,충정로,02-6311-5311,120-840,서울특별시 서대문구 충정로 지하28-1,서대문구,37.560055,126.963672
260,5,서대문,02-6311-5321,110-102,서울특별시 종로구 통일로 지하126,종로구,37.56577,126.96665
261,5,광화문,02-6311-5331,110-820,서울특별시 종로구 세종대로 지하172,종로구,37.5696765,126.976177
262,5,종로3가,02-6311-5341,110-807,서울특별시 종로구 돈화문로11길 지하26,종로구,37.5715,126.9912475
263,5,을지로4가,02-6311-5351,100-330,서울특별시 중구 창경궁로 지하51,중구,37.5670145,126.9978305
264,5,동대문역사문화공원,02-6311-5361,100-411,서울특별시 중구 마른내로 지하162,중구,37.565102,127.007765
265,5,청구,02-6311-5371,110-896,서울특별시 중구 청구로 지하77,중구,37.5591145,127.0131005
266,5,신금호,02-6311-5381,133-803,서울특별시 성동구 금호로 지하154,성동구,37.554468,127.020794
267,5,행당,02-6311-5391,133-868,서울특별시 성동구 행당로 지하89,성동구,37.557402,127.029637
268,5,왕십리,02-6311-5401,133-866,서울특별시 성동구 왕십리로 지하300,성동구,37.5611284,127.035505
269,5,마장,02-6311-5411,133-815,서울특별시 성동구 마장로 지하296,성동구,37.566127,127.042965
270,5,답십리,02-6311-5421,133-849,서울특별시 성동구 천호대로 지하300,성동구,37.567072,127.052382
271,5,장한평,02-6311-5431,130-100,서울특별시 동대문구 천호대로 지하405,동대문구,37.56147199999999,127.064657
272,5,군자,02-6311-5441,143-847,서울특별시 광진구 천호대로 지하550,광진구,37.5573355,127.079589
273,5,아차산,02-6311-5451,143-849,서울특별시 광진구 자양로 277,광진구,37.5520334,127.0896354
274,5,광나루,02-6311-5461,143-805,서울특별시 광진구 아차산로 지하571,광진구,37.54533199999999,127.103606
275,5,천호,02-6311-5471,134-840,서울특별시 강동구 천호대로 지하997,강동구,37.5439937,127.1256452
276,5,강동,02-6311-5481,134-010,서울특별시 강동구 천호대로 지하1097,강동구,37.53594,127.132187
277,5,길동,02-6311-5491,134-880,서울특별시 강동구 양재대로 지하1480,강동구,37.537769,127.139992
278,5,굽은다리,02-6311-5501,134-830,서울특별시 강동구 양재대로 지하1572,강동구,37.545539,127.142906
279,5,명일,02-6311-5511,134-829,서울특별시 강동구 양재대로 지하1632,강동구,37.55131,127.144014
280,5,고덕,02-6311-5521,134-878,서울특별시 강동구 고덕로 지하253,강동구,37.555051,127.15411
281,5,상일동,02-6311-5531,134-803,서울특별시 강동구 고덕로 지하359,강동구,37.5570545,127.169184
282,5,둔촌동,02-6311-5541,134-848,서울특별시 강동구 양재대로 지하1369,강동구,37.527657,127.136231
283,5,올림픽공원,02-6311-5551,138-829,서울특별시 송파구 양재대로 지하1233,송파구,37.516628,127.13109
284,5,방이,02-6311-5561,138-836,서울특별시 송파구 양재대로 지하1127,송파구,37.508559,127.12596
285,5,개롱,02-6311-5581,138-810,서울특별시 송파구 오금로 지하402,송파구,37.4981619,127.1346598
286,5,거여,02-6311-5591,138-813,서울특별시 송파구 오금로 지하499,송파구,37.493422,127.143597
287,5,마천,02-6311-5601,138-821,서울특별시 송파구 마천로57길 지하7,송파구,37.49502,127.15279
288,5,오금,02-6110-3521,138-856,서울특별시 송파구 오금로 지하321,송파구,37.5022335,127.128354
289,6,응암,02-6311-6101,122-903,서울특별시 은평구 증산로 지하477,은평구,37.598472,126.915592
290,6,역촌,02-6311-6111,122-833,서울특별시 은평구 서오릉로 지하63,은평구,37.605068,126.922038
291,6,불광,02-6311-6121,122-837,서울특별시 은평구 통일로 지하723-1,은평구,37.6105025,126.9298435
292,6,독바위,02-6311-6131,122-847,서울특별시 은평구 불광로 지하129-1,은평구,37.618387,126.933037
293,6,구산,02-6311-6151,122-819,서울특별시 은평구 연서로 지하137-1,은평구,37.610725,126.917879
294,6,새절,02-6311-6161,122-891,서울특별시 은평구 증산로 지하400,은평구,37.591014,126.913582
295,6,증산,02-6311-6171,122-939,서울특별시 은평구 증산로 지하306,은평구,37.583933,126.909686
296,6,디지털미디어시티,02-6311-6181,122-941,서울특별시 은평구 수색로 지하175,은평구,37.5779636,126.9004205
297,6,월드컵경기장,02-6311-6191,121-850,서울특별시 마포구 월드컵로 지하240,마포구,37.56965599999999,126.899058
298,6,마포구청,02-6311-6201,121-850,서울특별시 마포구 월드컵로 지하190,마포구,37.563418,126.903472
299,6,망원,02-6311-6211,121-820,서울특별시 마포구 월드컵로 지하77,마포구,37.5559772,126.9012821
300,6,합정,02-6311-6221,121-883,서울특별시 마포구 양화로 지하45,마포구,37.5463089,126.9101219
301,6,상수,02-6311-6231,121-829,서울특별시 마포구 독막로 지하85,마포구,37.547736,126.92296
302,6,광흥창,02-6311-6241,121-881,서울특별시 마포구 독막로 지하165,마포구,37.547478,126.931855
303,6,대흥,02-6311-6251,121-809,서울특별시 마포구 대흥로 지하85,마포구,37.547674,126.942332
304,6,공덕,02-6311-6261,121-805,서울특별시 마포구 백범로 지하200,마포구,37.54322,126.951576
305,6,효창공원앞,02-6311-6271,140-896,서울특별시 용산구 백범로 지하287,용산구,37.539289,126.961339
306,6,삼각지,02-6311-6281,140-011,서울특별시 용산구 한강대로 지하185,용산구,37.5350315,126.9734515
307,6,녹사평,02-6311-6291,140-024,서울특별시 용산구 녹사평대로 지하195,용산구,37.534945,126.9853515
308,6,이태원,02-6311-6301,140-863,서울특별시 용산구 이태원로 지하177,용산구,37.534533,126.994579
309,6,한강진,02-6311-6311,140-893,서울특별시 용산구 이태원로 지하287,용산구,37.539838,127.001766
310,6,버티고개,02-6311-6321,100-830,서울특별시 중구 다산로 지하38,중구,37.5478919,127.0071227
311,6,약수,02-6311-6331,100-841,서울특별시 중구 다산로 지하115,중구,37.5546714,127.0106285
312,6,신당,02-6311-6351,100-430,서울특별시 중구 다산로 지하260,중구,37.565671,127.019468
313,6,동묘앞,02-6311-6361,110-826,서울특별시 종로구 지봉로 지하24,종로구,37.572729,127.016008
314,6,창신,02-6311-6371,110-861,서울특별시 종로구 지봉로 지하112,종로구,37.579361,127.015281
315,6,보문,02-6311-6381,136-081,서울특별시 성북구 보문로 지하116,성북구,37.585331,127.019391
316,6,안암,02-6311-6391,136-075,서울특별시 성북구 인촌로 지하89,성북구,37.586296,127.029137
317,6,고려대,02-6311-6401,136-858,서울특별시 성북구 종암로 지하1,성북구,37.590401,127.035859
318,6,월곡,02-6311-6411,136-130,서울특별시 성북구 월곡로 지하107,성북구,37.601925,127.04153
319,6,상월곡,02-6311-6421,136-120,서울특별시 성북구 화랑로 지하157,성북구,37.6066,127.048862
320,6,돌곶이,02-6311-6431,136-820,서울특별시 성북구 화랑로 지하243,성북구,37.610493,127.056403
321,6,석계,02-6311-6441,139-840,서울특별시 노원구 화랑로 지하347-1,노원구,37.6150815,127.0657675
322,6,태릉입구,02-6311-6451,139-808,서울특별시 노원구 동일로 지하992-1,노원구,37.6179085,127.0750345
323,6,화랑대,02-6311-6461,139-240,서울특별시 노원구 화랑로 지하510,노원구,37.6201651,127.0838154
324,6,봉화산,02-6311-6471,131-130,서울특별시 중랑구 신내로 지하232,중랑구,37.61655,127.092686
325,6,청구,02-2233-2496,100-896,서울특별시 중구 청구로 지하77,중구,37.5591145,127.0131005
326,6,연신내,02-6311-6141,122-809,서울특별시 은평구 통일로 지하849,은평구,37.618812,126.920842
328,7,도봉산,02-6311-7101,132-800,서울특별시 도봉구 도봉로 964-40,도봉구,37.689596,127.0461945
329,7,수락산,02-6311-7111,139-838,서울특별시 노원구 동일로 지하1662,노원구,37.677881,127.055293
330,7,마들,02-6311-7121,139-200,서울특별시 노원구 동일로 지하1530-1,노원구,37.665375,127.057614
331,7,노원,02-6311-7131,139-200,서울특별시 노원구 동일로 지하1409,노원구,37.654527,127.060551
332,7,중계,02-6311-7141,139-863,서울특별시 노원구 동일로 지하1308-1,노원구,37.645494,127.063907
333,7,하계,02-6311-7151,139-873,서울특별시 노원구 동일로 지하1196,노원구,37.63595,127.068213
334,7,공릉,02-6311-7161,139-801,서울특별시 노원구 동일로 지하1074,노원구,37.625787,127.072894
335,7,태릉입구,02-6311-7171,139-808,서울특별시 노원구 동일로 지하992-1,노원구,37.6179085,127.0750345
336,7,먹골,02-6311-7181,131-850,서울특별시 중랑구 동일로 지하901,중랑구,37.61078,127.077707
337,7,중화,02-6311-7191,131-875,서울특별시 중랑구 동일로 지하797,중랑구,37.602572,127.079285
338,7,상봉,02-6311-7201,131-857,서울특별시 중랑구 망우로 지하297,중랑구,37.595627,127.085739
339,7,면목,02-6311-7211,131-200,서울특별시 중랑구 면목로 지하407,중랑구,37.588745,127.087494
340,7,사가정,02-6311-7221,131-812,서울특별시 중랑구 사가정로 지하393,중랑구,37.580966,127.088503
341,7,용마산,02-6311-7231,131-200,서울특별시 중랑구 용마산로 지하227,중랑구,37.57379299999999,127.086818
342,7,중곡,02-6311-7241,143-220,서울특별시 광진구 능동로 지하417,광진구,37.565535,127.084086
343,7,어린이대공원,02-6311-7261,143-915,서울특별시 광진구 능동로 지하210,광진구,37.54790500000001,127.074593
344,7,건대입구,02-6311-7271,143-914,서울특별시 광진구 능동로 지하110,광진구,37.540389,127.069236
345,7,뚝섬유원지,02-6311-7281,143-845,서울특별시 광진구 능동로 10,광진구,37.531537,127.066691
346,7,청담,02-6311-7291,135-110,서울특별시 강남구 학동로 지하508,강남구,37.51912,127.051937
347,7,강남구청,02-6311-7301,135-090,서울특별시 강남구 학동로 지하346,강남구,37.517473,127.0411685
348,7,학동,02-6311-7311,135-010,서울특별시 강남구 학동로 지하180,강남구,37.514236,127.031593
349,7,논현,02-6311-7321,135-010,서울특별시 강남구 학동로 지하102,강남구,37.511206,127.021728
350,7,반포,02-6311-7331,137-030,서울특별시 서초구 신반포로 지하241,서초구,37.508213,127.011847
351,7,고속터미널,02-6311-7341,137-713,서울특별시 서초구 신반포로 지하188,서초구,37.5049142,127.0049151
352,7,내방,02-6311-7351,137-839,서울특별시 서초구 서초대로 지하103,서초구,37.487707,126.993598
353,7,총신대입구(이수),02-6311-7361,156-816,서울특별시 동작구 사당로 지하310,동작구,37.48665099999999,126.982164
